"species","n_studies_tested","n_sig","n_enriched_crc","n_depleted_crc","mean_diff"
"Actinomyces naeslundii",11,0,0,0,-0.0305284596619049
"Actinomyces sp. oral taxon 414",11,0,0,0,0.0304884670890965
"Treponema berlinense",11,0,0,0,0.0304540874998285
"Parvimonas sp. oral taxon 110",11,0,0,0,0.0301698526034529
"Parabacteroides gordonii",11,0,0,0,0.0301334425768787
"Clostridium sp. CAG:678",11,0,0,0,-0.0300862678049329
"Campylobacter rectus",11,0,0,0,0.0300462573589073
"Bacteroides sp. CAG:144",11,0,0,0,0.0300056320039377
"Clostridium cadaveris",11,0,0,0,0.0292020659971112
"Massilimicrobiota timonensis",11,0,0,0,-0.0284069780951291
"Clostridium sp. CAG:411",11,0,0,0,-0.0282318978454947
"Aeromonas hydrophila",11,0,0,0,0.0281610459588063
"Streptococcus viridans",11,0,0,0,0.0281498167331433
"Prevotella sp. CAG:1124",11,0,0,0,-0.0281493108976774
"Streptococcus sp. F0442",11,0,0,0,-0.0280509148567594
"Negativicoccus succinicivorans",11,0,0,0,0.0279926903675872
"Eggerthia catenaformis",11,0,0,0,0.027956001571004
"Bacteroides faecis",11,0,0,0,-0.0278816840647378
"Aeromonas media",11,0,0,0,0.0278033326451508
"Clostridium sp. D5",11,0,0,0,0.0275148230636981
"Mitsuokella multacida",11,0,0,0,-0.0272879966202017
"Treponema denticola",11,0,0,0,0.0271235204220073
"Bifidobacterium dentium",11,0,0,0,0.0270745092447359
"Paraclostridium bifermentans",11,0,0,0,0.0270675695462376
"Lactobacillus johnsonii",11,0,0,0,0.0269432969628176
"Erysipelothrix larvae",11,0,0,0,0.0268875276117593
"Megamonas rupellensis",11,0,0,0,-0.0268791896004051
"Aeromonas veronii",11,0,0,0,0.026807463618845
"Anaerobiospirillum thomasii",11,0,0,0,-0.0267510397585684
"Butyricicoccus pullicaecorum",11,0,0,0,0.0266370976339132
"Prevotella sp. CAG:891",11,0,0,0,0.026577172280908
"Bacteroides faecichinchillae",11,0,0,0,0.0262252808598182
"Staphylococcus aureus",11,0,0,0,0.0261664279438194
"Anaeroglobus geminatus",11,0,0,0,0.0259826980334795
"Proteus hauseri",11,0,0,0,0.0259758963998328
"Streptococcus sp. HMSC070B10",11,0,0,0,0.0252282450838986
"Coprobacter fastidiosus",11,0,0,0,0.025026699217095
"Escherichia marmotae",11,0,0,0,-0.0247848531458948
"Prevotella sp. oral taxon 306",11,0,0,0,0.0247832119045563
"Blautia sp. An249",11,0,0,0,0.0247709669536259
"Lachnospiraceae bacterium 2_1_46FAA",11,0,0,0,0.0238810032032118
